iter	Passed	Remaining
1213	26303	407027
1214	26323	406981
1215	26343	406933
1216	26362	406876
1217	26383	406845
1218	26404	406818
1219	26425	406781
1220	26448	406773
1221	26469	406750
1222	26491	406734
1223	26512	406698
1224	26533	406665
1225	26554	406633
1226	26576	406622
1227	26596	406568
1228	26617	406539
1229	26639	406516
1230	26659	406471
1231	26679	406433
1232	26702	406420
1233	26721	406366
1234	26741	406326
1235	26764	406311
1236	26785	406289
1237	26806	406262
1238	26828	406235
1239	26851	406231
1240	26870	406181
1241	26893	406169
1242	26912	406117
1243	26934	406095
1244	26955	406058
1245	26977	406040
1246	26997	406008
1247	27018	405968
1248	27037	405915
1249	27058	405883
1250	27080	405862
1251	27101	405834
1252	27120	405774
1253	27141	405734
1254	27162	405704
1255	27184	405683
1256	27204	405641
1257	27226	405621
1258	27245	405568
1259	27268	405565
1260	27288	405521
1261	27312	405526
1262	27333	405494
1263	27353	405457
1264	27376	405454
1265	27398	405431
1266	27419	405404
1267	27441	405391
1268	27463	405369
1269	27483	405331
1270	27504	405303
1271	27526	405275
1272	27546	405231
1273	27567	405197
1274	27588	405177
1275	27609	405144
1276	27630	405110
1277	27650	405066
1278	27671	405037
1279	27694	405037
1280	27717	405025
1281	27739	405009
1282	27762	405008
1283	27781	404952
1284	27800	404897
1285	27822	404875
1286	27844	404857
1287	27868	404867
1288	27888	404821
1289	27908	404787
1290	27930	404766
1291	27952	404754
1292	27974	404731
1293	27995	404708
1294	28016	404676
1295	28038	404660
1296	28058	404609
1297	28078	404560
1298	28099	404529
1299	28119	404487
1300	28141	404469
1301	28161	404433
1302	28183	404412
1303	28204	404385
1304	28225	404346
1305	28244	404288
1306	28265	404257
1307	28286	404224
1308	28308	404207
1309	28329	404181
1310	28349	404139
1311	28370	404108
1312	28392	404096
1313	28413	404063
1314	28434	404028
1315	28454	403988
1316	28475	403960
1317	28495	403912
1318	28516	403879
1319	28535	403823
1320	28555	403781
1321	28576	403741
1322	28597	403710
1323	28617	403673
1324	28639	403649
1325	28662	403654
1326	28683	403621
1327	28703	403579
1328	28724	403553
1329	28746	403532
1330	28767	403501
1331	28788	403473
1332	28810	403455
1333	28831	403418
1334	28852	403398
1335	28872	403351
1336	28893	403320
1337	28914	403289
1338	28936	403278
1339	28958	403260
1340	28979	403234
1341	28999	403189
1342	29021	403165
1343	29042	403133
1344	29064	403117
1345	29083	403066
1346	29105	403042
1347	29130	403066
1348	29151	403048
1349	29170	402988
1350	29194	402991
1351	29216	402977
1352	29237	402949
1353	29258	402923
1354	29278	402882
1355	29299	402850
1356	29322	402837
1357	29345	402836
1358	29367	402825
1359	29390	402828
1360	29413	402822
1361	29438	402848
1362	29460	402833
1363	29484	402839
1364	29504	402801
1365	29526	402779
1366	29548	402764
1367	29570	402747
1368	29591	402710
1369	29611	402673
1370	29636	402697
1371	29663	402752
1372	29685	402728
1373	29707	402716
1374	29732	402744
1375	29756	402750
1376	29779	402748
1377	29801	402731
1378	29821	402685
1379	29843	402667
1380	29863	402628
1381	29883	402581
1382	29902	402530
1383	29923	402499
1384	29944	402465
1385	29966	402443
1386	29987	402414
1387	30007	402383
1388	30029	402354
1389	30049	402318
1390	30071	402301
1391	30094	402296
1392	30113	402242
1393	30137	402244
1394	30157	402207
1395	30177	402165
1396	30199	402152
1397	30219	402108
1398	30241	402083
1399	30260	402037
1400	30281	401999
1401	30303	401991
1402	30324	401956
1403	30346	401942
1404	30366	401901
1405	30387	401862
1406	30408	401843
1407	30430	401821
1408	30449	401768
1409	30471	401743
1410	30491	401702
1411	30512	401672
1412	30533	401640
1413	30554	401611
1414	30574	401572
1415	30595	401538
1416	30615	401507
1417	30636	401470
1418	30657	401438
1419	30680	401436
1420	30701	401408
1421	30727	401439
1422	30748	401410
1423	30772	401431
1424	30796	401439
1425	30824	401490
1426	30849	401523
1427	30875	401560
1428	30901	401588
1429	30924	401580
1430	30946	401569
1431	30967	401540
1432	30989	401525
1433	31009	401480
1434	31031	401461
1435	31051	401416
1436	31072	401397
1437	31091	401341
1438	31111	401296
1439	31131	401256
1440	31153	401227
1441	31174	401203
1442	31195	401179
1443	31216	401140
1444	31237	401120
1445	31258	401087
1446	31282	401097
1447	31304	401081
1448	31332	401138
1449	31356	401146
1450	31379	401140
1451	31401	401132
1452	31423	401112
